Country,Population,Human Development Index,GDP (Nominal),GDP Per Capita,Electricity Consumption,Internet Users (% of Population),Data Centers,Supercomputer Cores,Internet Connection Speed (Average Download Speed in Mbit/s)
Namibia,2727409,0.615,,,3.43,22,,,13
Nepal,29651054,0.602,,,9.33,19,,,67
Netherlands,17606632,0.944,9.91115E+11,55356,111.76,92,297,847392,193
New Zealand,5223912,0.937,,,41.47,88,81,,166
Nicaragua,7263842,0.667,,,4.17,19,,,53
Niger,28699103,0.4,,,1.59,5,,,7
Nigeria,232679478,0.535,4.77386E+11,2139,31.57,25,,,21
North Macedonia,2058539,0.774,,,5.79,75,,,43
Norway,5563985,0.961,5.79267E+11,106155,121.9,96,,425920,132
Oman,4741305,0.816,,,39.01,80,,,63
Pakistan,248556236,0.544,3.76533E+11,1545,146,15,,,14
Palestine,5341349,0.708,,,,,,,67
Panama,4579807,0.805,,,11.61,54,,,151
Papua New Guinea,10051955,0.555,,,4.52,11,,,12
Paraguay,7512408,0.728,,,17.49,43,,,90
Peru,35979354,0.762,2.42632E+11,7248,50.87,57,,,138
Philippines,118897403,0.699,4.04284E+11,3547,102.83,55,,,94
Poland,37677136,0.88,6.88177E+11,17928,156.87,76,144,438944,156
Portugal,10263850,0.866,2.51945E+11,24186,50.26,74,,78336,174
Qatar,2980243,0.855,2.37296E+11,82040,51.08,95,,,156
Romania,19047478,0.821,3.01262E+11,15718,49.8,74,,,214
Russia,145260253,0.822,2.24042E+12,15390,1025.54,76,251,741328,87
Rwanda,14962524,0.534,,,0.86,9,,,30
Saint Kitts and Nevis,54961,0.779,,,0.18,,,,63
Saint Lucia,178699,0.759,,,0.36,,,,101
Saint Vincent and the Grenadines,101848,0.738,,,0.16,,,,91
San Marino,33876,,,,,,,,101
Saudi Arabia,37694232,0.875,1.10815E+12,34441,393.21,93,,2737652,112
Senegal,17387797,0.512,,,7.03,25,,,21
Serbia,6616018,0.806,,,30.68,73,,,82
Seychelles,101655,0.785,,,0.57,58,,,31
Sierra Leone,9047661,0.477,,,1,14,,,21
Singapore,5828877,0.939,4.66789E+11,82619,55.71,84,99,234112,284
Slovakia,5374690,0.861,,,28.52,80,,,80
Slovenia,2101126,0.919,,,13.69,78,,156480,94
Somalia,18636173,,,,0.21,2,,,15
South Africa,60231219,0.713,4.0587E+11,6507,207.54,56,,,48
South Korea,51844710,0.916,1.66525E+12,32159,539.27,96,,2293652,161
Spain,47568376,0.905,1.39751E+12,29219,228.39,83,143,1542016,217
Sri Lanka,22543128,0.782,,,12.34,34,,,22
Sudan,49786687,0.508,,,6.84,30,,,13
Suriname,646740,0.738,,,1.42,47,,,12
Swaziland,1237456,0.611,,,1.54,29,,,18
Sweden,10506859,0.945,5.85939E+11,55871,140.76,96,95,448704,155
Switzerland,8897382,0.955,8.07706E+11,91866,57.49,89,120,1972192,205
Syria,21978176,0.555,,,21.41,34,,,4
Taiwan,23913031,,,,270.08,88,,600688,170
Tajikistan,10437728,0.697,,,18.25,21,,,26
Tanzania,67524989,0.528,,,8.15,13,,,19
Thailand,70694636,0.8,4.95341E+11,6905,213.12,52,,87296,231
Togo,9351932,0.539,,,2.71,12,,,32
Trinidad and Tobago,1487662,0.796,,,10.92,69,,,118
Tunisia,12538258,0.74,,,15.19,66,,,9
Turkey,89236967,0.838,9.05988E+11,10407,288.51,71,,55552,43
Turkmenistan,6447636,0.728,,,25.86,21,,,7
Uganda,49409419,0.525,,,4.93,14,,,14
Ukraine,36457731,0.773,1.53781E+11,,134.72,58,58,,78
United Arab Emirates,10228554,0.911,5.01746E+11,49554,124.5,99,,147248,276
United Kingdom,68539377,0.929,3.10842E+12,45038,294.76,94,514,2047152,105
United States,335453756,0.921,2.68542E+13,74554,3902.18,89,5381,47911528,254
Uruguay,3558910,0.809,,,12.89,74,,,134
Uzbekistan,35274907,0.72,,,60.53,46,,,63
Vanuatu,334506,0.609,,,0.12,25,,,13
Venezuela,32064683,0.705,,,80.51,72,,,47
Vietnam,100720882,0.703,4.09783E+11,4101,213.22,70,,,109
Westerna Sahara,651663,,,,,,,,28
Yemen,35384678,0.455,,,6.57,26,,,7
Zambia,20088304,0.586,,,12.73,20,,,21
Zimbabwe,17858422,0.571,,,7.38,25,,,15
