Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Website URL,WC Grade,WC CO2 per Visit,Sustainable Energy,Monthly traffic in K,
267,Viatris,VTRS,Health Care,Pharmaceuticals,yes,no,no,yes,-11,no,yes,no,no,no,no,38000,14179.6,15426.9,-5.1,54.7,-97.4,47685.5,Scott A. Smith,U.S.,Canonsburg,Pennsylvania,https://www.viatris.com,Public,"Market value as of March 28, 2024.",14180,45447,www.viatris.com,F,1.54,sustainable energy,125.86,
268,Kinder Morgan,KMI,Energy,Pipelines,yes,no,yes,yes,-54,no,yes,no,no,no,no,10891,40703.3,15334,-20.1,2391,-6.2,71020,Kimberly A. Dang,U.S.,Houston,Texas,https://www.kindermorgan.com,Public,"Market value as of March 28, 2024.",40703,45447,www.kindermorgan.com,F,1.14,bog standard energy,88.307,
269,Ecolab,ECL,Chemicals,Chemicals,yes,no,no,yes,24,yes,no,no,no,yes,no,48000,66017.1,15320.2,8,1372.3,25.7,21846.6,Christophe Beck,U.S.,St. Paul,Minnesota,https://www.ecolab.com,Public,"Market value as of March 28, 2024.",66017,45447,www.ecolab.com,F,3.38,sustainable energy,964.44,
270,Baxter International,BAX,Health Care,Medical Products and Equipment,yes,no,no,no,4,yes,no,no,no,no,no,60000,21704.5,15282,1.1,2656,,28276,Jos? E. Almeida,U.S.,Deerfield,Illinois,https://www.baxter.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",21705,45447,www.baxter.com,E,0.76,sustainable energy,601.885,
271,Devon Energy,DVN,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-55,no,yes,no,no,no,no,1900,31864.3,15258,-20.4,3747,-37.7,24490,Richard E. Muncrief,U.S.,Oklahoma City,Oklahoma,https://www.devonenergy.com,Public,"Market value as of March 28, 2024.",31864,45447,www.devonenergy.com,E,0.82,sustainable energy,41.84,
272,Kellanova,K,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-2,no,yes,no,no,no,no,23000,19579.4,15207,-0.7,951,-0.9,15621,Steven A. Cahillane,U.S.,Chicago,Illinois,https://www.kellanova.com,Public,"Includes revenues from discontinued operations. Spun off WK Kellogg and changed name from Kellogg, Oct. 2, 2023. Market value as of March 28, 2024.",19579,45447,www.kellanova.com,A+,0,sustainable energy,159.381,
273,Farmers Insurance Exchange,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,no,22,yes,no,no,no,no,no,9685,,15194.4,7.8,-652.9,,23677.7,Raul Vargas,U.S.,Woodland Hills,California,https://www.farmers.com,Private,"Market value as of March 31, 2021.",,45447,www.farmers.com,A+,0.01,sustainable energy,3323,
274,Casey's General Stores,CASY,Retailing,Specialty Retailers: Other,yes,no,no,yes,42,yes,no,no,no,no,no,31637,11788.1,15094.5,16.5,446.7,31.5,5943.3,Darren M. Rebelez,U.S.,Ankeny,Iowa,https://www.caseys.com,Public,"Figures are for fiscal year ended April 30, 2023. Market value as of March 28, 2024.",11788,45447,www.caseys.com,F,1.41,sustainable energy,1890,
275,IQVIA Holdings,IQV,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,11,yes,no,no,no,yes,no,87000,46029.4,14984,4,1358,24.5,26681,Ari Bousbib,U.S.,Durham,North Carolina,https://www.iqvia.com,Public,"Market value as of March 28, 2024.",46029,45447,www.iqvia.com,F,5.33,bog standard energy,1237,
276,Republic Services,RSG,Business Services,Waste Management,yes,no,no,yes,33,yes,no,no,no,yes,no,41000,60229,14964.5,10.8,1731,16.4,31410.1,Jon Vander Ark,U.S.,Phoenix,Arizona,https://www.republicservices.com,Public,"Market value as of March 28, 2024.",60229,45447,www.republicservices.com,A+,0.08,bog standard energy,2615,
277,Fox,FOXA,Media,Entertainment,yes,no,no,no,23,yes,no,no,no,no,no,10400,14225.1,14913,6.7,1239,2.8,21866,Lachlan K. Murdoch,U.S.,New York,New York,https://www.foxcorporation.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",14225,45447,www.foxcorporation.com,F,1.58,sustainable energy,49.824,
278,Gap,GPS,Retailing,Specialty Retailers: Apparel,yes,no,no,no,-13,no,yes,no,no,no,no,85000,10290.3,14889,-4.7,502,,11044,Richard Dickson,U.S.,San Francisco,California,https://www.gapinc.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",10290,45447,www.gapinc.com,F,3.43,sustainable energy,601.592,
279,Keurig Dr Pepper,KDP,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,17,yes,no,no,no,yes,no,28100,42557.4,14814,5.4,2181,51.9,52130,Timothy P. Cofer,U.S.,Burlington,Massachusetts,https://keurig.com,Public,"Market value as of March 28, 2024.",42557,45447,keurig.com,E,0.84,sustainable energy,2077,
280,Reliance,RS,Materials,Metals,yes,no,yes,yes,-33,no,yes,no,no,yes,no,15250,19190.4,14805.9,-13,1335.9,-27.4,10480.3,Karla R. Lewis,U.S.,Scottsdale,Arizona,https://reliance.com,Public,"Changed name from Reliance Steel & Aluminum, Feb. 26, 2024. Market value as of March 28, 2024.",19190,45447,reliance.com,F,1.36,sustainable energy,31.717,
281,Asbury Automotive Group,ABG,Retailing,"Automotive Retailing, Services",yes,no,no,yes,-13,no,yes,no,no,no,no,15000,4810.9,14802.7,-4.1,602.5,-39.6,10159.4,David W. Hult,U.S.,Duluth,Georgia,https://www.asburyauto.com,Public,"Market value as of March 28, 2024.",4811,45447,www.asburyauto.com,C,0.35,sustainable energy,61.753,
