Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Website URL,WC Grade,WC CO2 per Visit,Sustainable Energy,Monthly traffic in K,
312,Raymond James Financial,RJF,Financials,Securities,yes,no,no,yes,51,yes,no,no,no,yes,no,18000,26843.3,12992,14.9,1739,15.2,78360,Paul C. Reilly,U.S.,St. Petersburg,Florida,https://www.raymondjames.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",26843,45447,www.raymondjames.com,E,0.67,sustainable energy,756.402,
313,Dick's Sporting Goods,DKS,Retailing,Specialty Retailers: Other,yes,no,yes,yes,21,yes,no,no,no,no,no,37200,18539.3,12984.4,5,1046.5,0.3,9311.8,Lauren R. Hobart,U.S.,Coraopolis,Pennsylvania,https://www.dickssportinggoods.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",18539,45447,www.dickssportinggoods.com,A+,0.01,sustainable energy,38130,
314,Auto-Owners Insurance,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,48,yes,no,no,no,no,no,6946,,12937.7,13.4,-912.4,,36238.2,Jamie Whisnant,U.S.,Lansing,Michigan,https://www.auto-owners.com,Private,"Market value as of March 31, 2021.",,45447,www.auto-owners.com,F,1.31,bog standard energy,885.684,
315,Expedia Group,EXPE,Retailing,Internet Services and Retailing,yes,no,yes,yes,38,yes,no,no,no,no,no,17100,18773.7,12839,10,797,126.4,21642,Ariane  Gorin,U.S.,Seattle,Washington,https://www.expediagroup.com,Public,"Market value as of March 28, 2024.",18774,45447,www.expediagroup.com,E,0.68,sustainable energy,783.842,
316,J.B. Hunt Transport Services,JBHT,Transportation,"Trucking, Truck Leasing",yes,no,no,no,-36,no,yes,no,no,yes,no,34718,20582.2,12829.7,-13.4,728.3,-24.9,8538.3,Shelley Simpson,U.S.,Lowell,Arkansas,https://www.jbhunt.com,Public,"Market value as of March 28, 2024.",20582,45447,www.jbhunt.com,F,1.44,bog standard energy,1071,
317,M&T Bank,MTB,Financials,Commercial Banks,yes,no,no,no,122,yes,no,no,no,no,no,21980,24233.4,12752,48.2,2741,37.6,208264,Ren? F. Jones,U.S.,Buffalo,New York,https://www.mtb.com,Public,"Market value as of March 28, 2024.",24233,45447,www.mtb.com,E,0.69,bog standard energy,7789,
318,DTE Energy,DTE,Energy,Utilities: Gas and Electric,yes,no,no,no,-106,no,yes,no,no,yes,no,9950,23204.6,12745,-33.7,1397,29,44755,Gerardo Norcia,U.S.,Detroit,Michigan,https://www.dteenergy.com,Public,"Market value as of March 28, 2024.",23205,45447,www.dteenergy.com,F,0.89,sustainable energy,2319,
319,AES,AES,Energy,Utilities: Gas and Electric,yes,no,no,yes,8,yes,no,no,no,yes,no,9600,12744.8,12668,0.4,249,,44799,Andr?s R. Gluski,U.S.,Arlington,Virginia,https://www.aes.com,Public,"Market value as of March 28, 2024.",12745,45447,www.aes.com,F,5.01,sustainable energy,134.339,
320,Berry Global Group,BERY,Materials,"Packaging, Containers",yes,no,no,no,-36,no,yes,no,no,no,no,44000,7009.6,12664,-12.6,609,-20.5,16587,Kevin Kwilinski,U.S.,Evansville,Indiana,https://www.berryglobal.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",7010,45447,www.berryglobal.com,F,1.35,sustainable energy,132.911,
321,Fifth Third Bancorp,FITB,Financials,Commercial Banks,yes,no,no,no,90,yes,no,no,no,yes,no,18724,25434.9,12641,35.2,2349,-4,214574,Timothy N. Spence,U.S.,Cincinnati,Ohio,https://www.53.com,Public,"Market value as of March 28, 2024.",25435,45447,www.53.com,E,0.72,sustainable energy,9016,
322,Air Products & Chemicals,APD,Chemicals,Chemicals,yes,no,no,yes,0,no,no,no,no,no,no,21850,53856.9,12600,-0.8,2300.2,2,32002.5,Seifi Ghasemi,U.S.,Allentown,Pennsylvania,https://www.airproducts.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",53857,45447,www.airproducts.com,F,1.14,sustainable energy,159.29,
323,Corning,GLW,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,-31,no,yes,no,no,no,no,49800,28192.4,12588,-11.3,581,-55.9,28500,Wendell P. Weeks,U.S.,Corning,New York,https://www.corning.com,Public,"Market value as of March 28, 2024.",28192,45447,www.corning.com,D,0.62,sustainable energy,573.498,
324,EMCOR Group,EME,Engineering & Construction,Engineering & Construction,yes,no,no,yes,45,yes,no,no,no,yes,no,38300,16482.1,12582.9,13.6,633,55.9,6609.7,Anthony J. Guzzi,U.S.,Norwalk,Connecticut,https://www.emcorgroup.com,Public,"Market value as of March 28, 2024.",16482,45447,www.emcorgroup.com,D,0.57,sustainable energy,37.042,
325,Amphenol,APH,Technology,Network and Other Communications Equipment,yes,no,no,yes,1,yes,no,no,no,yes,no,95000,69193.3,12554.7,-0.5,1928,1.4,16526.4,R. Adam Norwitt,U.S.,Wallingford,Connecticut,https://www.amphenol.com,Public,"Market value as of March 28, 2024.",69193,45447,www.amphenol.com,D,0.49,sustainable energy,97.412,
326,Westlake,WLK,Chemicals,Chemicals,yes,no,no,no,-63,no,yes,no,no,no,no,15520,19636.5,12548,-20.6,479,-78.7,21035,Jean-Marc Gilson,U.S.,Houston,Texas,https://www.westlake.com,Public,"Market value as of March 28, 2024.",19637,45447,www.westlake.com,F,1.29,bog standard energy,80.969,
327,DuPont,DD,Chemicals,Chemicals,yes,no,no,yes,-77,no,yes,no,no,no,no,24000,32016.1,12528,-24.3,423,-92.8,38552,Edward D. Breen,U.S.,Wilmington,Delaware,https://www.dupont.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",32016,45447,www.dupont.com,F,3.55,sustainable energy,605.012,
328,Liberty Media,LSXMA,Media,Entertainment,yes,no,no,no,12,yes,no,no,no,yes,no,6486,9699.7,12525,3,761,-58.1,41168,Gregory B. Maffei,U.S.,Englewood,Colorado,https://www.libertymedia.com,Public,"Market value of Liberty SiriusXM stock. Market value as of March 28, 2024.",9700,45447,www.libertymedia.com,F,2.2,sustainable energy,51.071,
329,S&P Global,SPGI,Business Services,Financial Data Services,yes,no,no,yes,37,yes,no,no,no,yes,no,40450,136253.3,12497,11.8,2626,-19.2,60589,Douglas L. Peterson,U.S.,New York,New York,https://www.spglobal.com,Public,"Market value as of March 28, 2024.",136253,45447,www.spglobal.com,F,7.81,sustainable energy,3417,
330,Community Health Systems,CYH,Health Care,Health Care: Medical Facilities,no,no,no,no,7,yes,no,no,no,no,no,54500,486.4,12490,2.3,-133,-389.1,14455,Tim L. Hingtgen,U.S.,Franklin,Tennessee,https://www.chs.net,Public,"Market value as of March 28, 2024.",486,45447,www.chs.net,C,0.38,bog standard energy,157.029,
331,FirstEnergy,FE,Energy,Utilities: Gas and Electric,yes,no,no,no,12,yes,no,no,no,no,no,12042,22226.4,12450,3.3,1102,171.4,48767,Brian X. Tierney,U.S.,Akron,Ohio,https://www.firstenergycorp.com,Public,"Excise taxes have been deducted. Market value as of March 28, 2024.",22226,45447,www.firstenergycorp.com,F,1.8,sustainable energy,4938,
332,Unum Group,UNM,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,15,yes,no,no,no,no,no,10683,10298.6,12385.9,3.3,1283.8,-2.3,63255.2,Richard P. McKenney,U.S.,Chattanooga,Tennessee,https://www.unum.com,Public,"Market value as of March 28, 2024.",10299,45447,www.unum.com,C,0.47,bog standard energy,899.851,
333,Henry Schein,HSIC,Health Care,Wholesalers: Health Care,yes,no,no,yes,-8,no,yes,no,no,no,no,25000,9704.8,12339,-2.4,416,-22.7,10573,Stanley M. Bergman,U.S.,Melville,New York,https://www.henryschein.com,Public,"Market value as of March 28, 2024.",9705,45447,www.henryschein.com,E,0.78,sustainable energy,867.74,
334,Western Digital,WDC,Technology,"Computers, Office Equipment",no,no,no,no,-113,no,yes,no,no,yes,no,53000,22278.8,12318,-34.5,-1706,-213.7,24429,David V. Goeckeler,U.S.,San Jose,California,https://www.westerndigital.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",22279,45447,www.westerndigital.com,F,1.91,sustainable energy,3546,
335,Analog Devices,ADI,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,9,yes,no,no,no,no,no,26000,98085.7,12305.5,2.4,3314.6,20.6,48794.5,Vincent T. Roche,U.S.,Wilmington,Massachusetts,https://www.analog.com,Public,"Figures are for fiscal year ended Oct. 31, 2023. Market value as of March 28, 2024.",98086,45447,www.analog.com,E,0.68,sustainable energy,2748,
336,Conagra Brands,CAG,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,24,yes,no,no,no,no,no,18600,14168.1,12277,6.4,683.6,-23,22052.6,Sean M. Connolly,U.S.,Chicago,Illinois,https://www.conagrabrands.com,Public,"Figures are for fiscal year ended May 31, 2023. Market value as of March 28, 2024.",14168,45447,www.conagrabrands.com,F,2.24,sustainable energy,125.144,
337,Citizens Financial Group,CFG,Financials,Commercial Banks,yes,no,no,no,82,yes,no,no,no,yes,no,17570,16635.3,12187,34.4,1608,-22.4,221964,Bruce W. Van Saun,U.S.,Providence,Rhode Island,https://www.citizensbank.com,Public,"Market value as of March 28, 2024.",16635,45447,www.citizensbank.com,A+,0,sustainable energy,5164,
338,Norfolk Southern,NSC,Transportation,Railroads,yes,no,no,yes,-18,no,yes,no,no,no,no,20700,57570.4,12156,-4.6,1827,-44.1,41652,Alan H. Shaw,U.S.,Atlanta,Georgia,https://www.norfolksouthern.com,Public,"Market value as of March 28, 2024.",57570,45447,www.norfolksouthern.com,F,5.3,bog standard energy,96.251,
339,Entergy,ETR,Energy,Utilities: Gas and Electric,yes,no,no,yes,-37,no,yes,no,no,no,no,12177,22535.5,12147.4,-11.7,2356.5,113.6,59703.4,Andrew S. Marsh,U.S.,New Orleans,Louisiana,https://www.entergy.com,Public,"Market value as of March 28, 2024.",22536,45447,www.entergy.com,F,1.43,sustainable energy,755.907,
340,W.R. Berkley,WRB,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,27,yes,no,no,no,no,no,8329,22689.2,12142.9,8.7,1381.4,,37202,W. Robert Berkley Jr.,U.S.,Greenwich,Connecticut,https://www.berkley.com,Public,"Market value as of March 28, 2024.",22689,45447,www.berkley.com,F,1.88,sustainable energy,47.281,
341,DaVita,DVA,Health Care,Health Care: Medical Facilities,yes,no,no,no,16,yes,no,no,no,yes,no,70000,12107,12140.1,4.6,691.5,23.4,16893.6,Javier J. Rodriguez,U.S.,Denver,Colorado,https://www.davita.com,Public,"Market value as of March 28, 2024.",12107,45447,www.davita.com,F,2.52,sustainable energy,1079,
342,Northern Trust,NTRS,Financials,Commercial Banks,yes,no,no,no,135,yes,no,no,no,yes,no,23100,18141.4,12116.5,56.3,1107.3,-17.1,150783.1,Michael G. O'Grady,U.S.,Chicago,Illinois,https://www.northerntrust.com,Public,"Market value as of March 28, 2024.",18141,45447,www.northerntrust.com,F,2.01,sustainable energy,460.051,
343,Hormel Foods,HRL,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-13,no,yes,no,no,yes,no,20000,19108.8,12110,-2.8,793.6,-20.6,13448.8,James P. Snee,U.S.,Austin,Minnesota,https://www.hormelfoods.com,Public,"Figures are for fiscal year ended Oct. 31, 2023. Market value as of March 28, 2024.",19109,45447,www.hormelfoods.com,C,0.42,sustainable energy,77.371,
344,Crown Holdings,CCK,Materials,"Packaging, Containers",yes,no,no,no,-27,no,yes,no,no,no,no,25000,9574.2,12010,-7.2,450,-38.1,15034,Timothy J. Donahue,U.S.,Tampa,Florida,https://www.crowncork.com,Public,"Market value as of March 28, 2024.",9574,45447,www.crowncork.com,F,1.42,bog standard energy,93.278,
345,Avis Budget Group,CAR,Retailing,"Automotive Retailing, Services",yes,no,no,no,1,yes,no,no,no,no,no,21250,4344,12008,0.1,1632,-41,32569,Joseph A. Ferraro,U.S.,Parsippany,New Jersey,https://www.avisbudgetgroup.com,Public,"Market value as of March 28, 2024.",4344,45447,www.avisbudgetgroup.com,F,3.96,bog standard energy,56.694,
346,Wayfair,W,Retailing,Internet Services and Retailing,no,yes,no,no,-10,no,yes,no,no,no,no,12800,8174.7,12003,-1.8,-738,,3474,Niraj S. Shah,U.S.,Boston,Massachusetts,https://www.wayfair.com,Public,"Market value as of March 28, 2024.",8175,45447,www.wayfair.com,F,5.87,sustainable energy,87270,
347,MasTec,MTZ,Engineering & Construction,Engineering & Construction,no,no,no,yes,47,yes,no,no,no,yes,no,34000,7393,11995.9,22.7,-49.9,-249.8,9373.5,Jos? R. Mas,U.S.,Coral Gables,Florida,https://www.mastec.com,Public,"Market value as of March 28, 2024.",7393,45447,www.mastec.com,E,0.82,bog standard energy,47.627,
348,Eversource Energy,ES,Energy,Utilities: Gas and Electric,no,no,no,yes,-13,no,yes,no,no,no,no,10171,20962.9,11910.7,-3.1,-442.2,-131.5,55612.2,Joseph R. Nolan Jr.,U.S.,Springfield,Massachusetts,https://www.eversource.com,Public,"Market value as of March 28, 2024.",20963,45447,www.eversource.com,D,0.53,sustainable energy,2681,
349,Newmont,NEM,Energy,"Mining, Crude-Oil Production",no,no,no,yes,-1,no,yes,no,no,no,no,21700,41315.9,11812,-0.9,-2494,,55506,Thomas R. Palmer,U.S.,Denver,Colorado,https://www.newmont.com,Public,"Market value as of March 28, 2024.",41316,45447,www.newmont.com,F,2.01,sustainable energy,166.685,
350,Ryder System,R,Transportation,Transportation and Logistics,yes,no,no,no,-5,no,yes,no,no,yes,no,47500,5320.5,11783,-1.9,406,-53.2,15778,Robert E. Sanchez,U.S.,Coral Gables,Florida,https://www.ryder.com,Public,"Market value as of March 28, 2024.",5321,45447,www.ryder.com,F,1.55,sustainable energy,837.254,
351,Fidelity National Financial,FNF,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,8,yes,no,no,no,no,no,22293,14507.3,11752,1.7,517,-54.5,80614,Michael J. Nolan,U.S.,Jacksonville,Florida,https://www.fnf.com,Public,"Market value as of March 28, 2024.",14507,45447,www.fnf.com,A+,0,sustainable energy,201.653,
352,Molson Coors Beverage,TAP,"Food, Beverages & Tobacco",Beverages,yes,no,no,no,22,yes,no,no,no,no,no,16500,14297.8,11702.1,9.4,948.9,,26375.1,Gavin D.K. Hattersley,U.S.,Chicago,Illinois,https://www.molsoncoors.com,Public,"Excise taxes have been deducted. Market value as of March 28, 2024.",14298,45447,www.molsoncoors.com,F,1.78,sustainable energy,235.244,
353,Caesars Entertainment,CZR,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,1,yes,no,no,no,no,no,51000,9461,11673,0.2,786,,33366,Thomas R. Reeg,U.S.,Reno,Nevada,https://www.caesars.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",9461,45447,www.caesars.com,F,2.04,bog standard energy,8009,
354,Lincoln National,LNC,Financials,"Insurance: Life, Health (stock)",no,no,yes,no,-132,no,yes,no,no,no,no,11024,5417.5,11645,-37.9,-752,,372413,Ellen G. Cooper,U.S.,Radnor,Pennsylvania,https://lincolnfinancial.com/,Public,"Market value as of March 28, 2024.",5418,45447,lincolnfinancial.com,D,0.6,sustainable energy,1872,
355,VF,VFC,Apparel,Apparel,yes,no,no,no,-6,no,yes,no,no,no,no,26400,5964.4,11612.5,-1.9,118.6,-91.5,13990.5,Bracken P. Darrell,U.S.,Denver,Colorado,https://www.vfc.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of March 28, 2024.",5964,45447,www.vfc.com,F,4.37,sustainable energy,254.61,
356,International Flavors & Fragrances,IFF,Chemicals,Chemicals,no,no,no,no,-24,no,yes,no,no,no,no,21500,21954.9,11479,-7.7,-2567,,30978,J. Erik  Fyrwald,U.S.,New York,New York,https://www.iff.com,Public,"Market value as of March 28, 2024.",21955,45447,www.iff.com,B,0.28,sustainable energy,244.499,
357,Huntington Ingalls Industries,HII,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,18,yes,no,no,no,no,no,44000,11544.7,11454,7.3,681,17.6,11215,Christopher D. Kastner,U.S.,Newport News,Virginia,https://www.hii.com,Public,"Market value as of March 28, 2024.",11545,45447,www.hii.com,F,5.71,bog standard energy,107.259,
358,Advance Auto Parts,AAP,Retailing,Specialty Retailers: Other,yes,no,no,yes,10,yes,no,no,no,no,no,54500,5072.2,11287.6,1.2,29.7,-93.6,12276.3,Shane M. O'Kelly,U.S.,Raleigh,North Carolina,https://shop.advanceautoparts.com/,Public,"Market value as of March 28, 2024.",5072,45447,www.advanceautoparts.com,E,0.74,sustainable energy,12900,
359,Public Service Enterprise Group,PEG,Energy,Utilities: Gas and Electric,yes,no,no,yes,33,yes,no,no,no,no,no,12543,33295.6,11237,14.7,2563,148.6,50741,Ralph A. LaRossa,U.S.,Newark,New Jersey,https://www.pseg.com,Public,"Market value as of March 28, 2024.",33296,45447,www.pseg.com,C,0.42,sustainable energy,1769,
360,Ulta Beauty,ULTA,Retailing,Specialty Retailers: Other,yes,no,no,yes,23,yes,no,no,no,no,no,38000,25238.8,11207.3,9.8,1291,3.9,5707,David C. Kimbell,U.S.,Bolingbrook,Illinois,https://www.ulta.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",25239,45447,www.ulta.com,C,0.46,sustainable energy,31990,
361,Hershey,HSY,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,yes,yes,19,yes,no,no,no,no,no,19578,39719.1,11165,7.2,1861.8,13.2,11902.9,Michele G. Buck,U.S.,Hershey,Pennsylvania,https://www.thehersheycompany.com,Public,"Market value as of March 28, 2024.",39719,45447,www.thehersheycompany.com,F,0.89,sustainable energy,198.133,
362,Chewy,CHWY,Retailing,Internet Services and Retailing,yes,no,no,no,27,yes,no,no,no,yes,no,18100,6919.5,11147.7,10.4,39.6,-19.6,3186.9,Sumit Singh,U.S.,Plantation,Florida,https://www.chewy.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",6920,45447,www.chewy.com,F,1.09,sustainable energy,47500,
363,American Tower,AMT,Financials,Real estate,yes,no,no,no,10,yes,no,no,no,no,no,5643,92146.5,11144.2,4,1483.3,-16,66027.6,Steven O. Vondran,U.S.,Boston,Massachusetts,https://www.americantower.com,Public,"A real estate investment trust. Market value as of March 28, 2024.",92147,45447,www.americantower.com,D,0.57,sustainable energy,209.929,
364,Mohawk Industries,MHK,Household Products,"Home Equipment, Furnishings",no,no,no,yes,-13,no,yes,no,no,no,no,43300,8337.2,11135.1,-5.1,-439.5,-1840.9,13559.9,Jeffrey S. Lorberbaum,U.S.,Calhoun,Georgia,https://www.mohawkind.com,Public,"Market value as of March 28, 2024.",8337,45447,www.mohawkind.com,F,0.87,sustainable energy,322.422,
365,Assurant,AIZ,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,19,yes,no,no,no,no,no,13600,9784.3,11131.6,9.2,642.5,132.3,33635.2,Keith W. Demmings,U.S.,Atlanta,Georgia,https://www.assurant.com,Public,"Market value as of March 28, 2024.",9784,45447,www.assurant.com,E,0.8,sustainable energy,744.645,
366,Thor Industries,THO,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,-112,no,yes,no,no,no,no,24900,6257.1,11121.6,-31.8,374.3,-67.1,7260.8,Robert W. Martin,U.S.,Elkhart,Indiana,https://www.thorindustries.com,Public,"Figures are for fiscal year ended July 31, 2023. Market value as of March 28, 2024.",6257,45447,www.thorindustries.com,E,0.8,bog standard energy,152.053,
367,Graybar Electric,,Wholesalers,Wholesalers: Diversified,yes,no,yes,yes,11,yes,no,no,no,yes,no,9500,,11042.4,4.8,463.4,2.3,4006.1,Kathleen M. Mazzarella,U.S.,St. Louis,Missouri,https://www.graybar.com,Private,"Figures are for the latest twelve months ended Sept. 30, 2023. Source: S&P Global.",,45447,www.graybar.com,F,1.47,sustainable energy,685.701,
368,Yum China Holdings,YUMC,"Hotels, Restaurants & Leisure",Food Services,yes,no,yes,yes,37,yes,no,no,no,yes,no,293500,15598.8,10978,14.7,827,87.1,12031,Joey Wat,U.S.,Plano,Texas,https://ir.yumchina.com,Public,"Market value as of March 28, 2024.",15599,45447,ir.yumchina.com,F,2.27,bog standard energy,13.201,
369,Celanese,CE,Chemicals,Chemicals,yes,no,yes,no,27,yes,no,no,no,no,no,12410,19173.3,10940,13.1,1960,3.5,26597,Lori J. Ryerkerk,U.S.,Irving,Texas,https://www.celanese.com,Public,"Market value as of March 28, 2024.",19173,45447,www.celanese.com,F,2.51,sustainable energy,67.322,
370,Qurate Retail,QRTEA,Retailing,Internet Services and Retailing,no,no,no,no,-28,no,yes,no,no,no,no,20386,510.9,10915,-9.8,-145,,11368,David L. Rawlinson II,U.S.,Englewood,Colorado,https://www.qurateretail.com,Public,"Market value as of March 28, 2024.",511,45447,www.qurateretail.com,C,0.4,sustainable energy,10.724,
371,Williams,WMB,Energy,Pipelines,yes,no,no,yes,-1,no,yes,no,no,no,no,5601,47482,10907,-0.5,3179,55.1,52627,Alan S. Armstrong,U.S.,Tulsa,Oklahoma,https://www.williams.com,Public,"Market value as of March 28, 2024.",47482,45447,www.williams.com,F,0.96,bog standard energy,85.859,
372,Interpublic Group,IPG,Business Services,"Advertising, marketing",yes,no,no,no,-1,no,yes,no,no,no,no,57400,12357.8,10889.3,-0.4,1098.4,17.1,19267.3,Philippe Krakowsky,U.S.,New York,New York,https://www.interpublic.com,Public,"Market value as of March 28, 2024.",12358,45447,www.interpublic.com,F,2.98,sustainable energy,839.635,
373,Ovintiv,OVV,Energy,"Mining, Crude-Oil Production",yes,no,no,no,-44,no,yes,no,no,no,no,1743,13958.7,10883,-12.7,2085,-42.7,19987,Brendan M. McCracken,U.S.,Denver,Colorado,https://www.ovintiv.com,Public,"Market value as of March 28, 2024.",13959,45447,www.ovintiv.com,C,0.45,sustainable energy,20.112,
374,Icahn Enterprises,IEP,Financials,Diversified Financials,no,no,no,no,-80,no,yes,no,no,no,no,15038,7297.9,10847,-23.1,-684,,20858,Andrew  Teno,U.S.,Sunny Isles Beach,Florida,https://www.ielp.com,Public,"Excise taxes have been deducted. A partnership. Market value as of March 28, 2024.",7298,45447,www.ielp.com,B,0.27,bog standard energy,23.233,
375,Huntington Bancshares,HBAN,Financials,Commercial Banks,yes,no,no,yes,91,yes,no,no,no,no,no,19955,20308.6,10837,36.3,1951,-12.8,189368,Stephen D. Steinour,U.S.,Columbus,Ohio,https://www.huntington.com,Public,"Market value as of March 28, 2024.",20309,45447,www.huntington.com,D,0.53,sustainable energy,8901,
376,Erie Insurance Group,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,38,yes,no,no,no,no,no,6510,,10812.5,16.3,-526.6,,27515.2,Timothy G. NeCastro,U.S.,Erie,Pennsylvania,https://www.erieinsurance.com,Private,Consists of a nonpublic reciprocal insurer and a publicly held management company.,,45447,www.erieinsurance.com,E,0.68,sustainable energy,1162,
377,Carvana,CVNA,Retailing,"Automotive Retailing, Services",yes,yes,no,no,-69,no,yes,no,no,no,no,13700,16943.7,10771,-20.8,450,,7071,Ernest C. Garcia III,U.S.,Tempe,Arizona,https://www.carvana.com,Public,"Market value as of March 28, 2024.",16944,45447,www.carvana.com,F,0.98,sustainable energy,20850,
378,Hess,HES,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-20,no,yes,no,no,no,no,1756,46883.7,10645,-8,1382,-34.1,24007,John B. Hess,U.S.,New York,New York,https://www.hess.com,Public,"Market value as of March 28, 2024.",46884,45447,www.hess.com,F,1.1,sustainable energy,49.626,
379,Dana,DAN,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,8,yes,no,no,no,no,no,41800,1840.9,10555,3.9,38,,7965,James K. Kamsickas,U.S.,Maumee,Ohio,https://www.dana.com,Public,"Market value as of March 28, 2024.",1841,45447,www.dana.com,F,2.4,sustainable energy,164.503,
380,Alcoa,AA,Materials,Metals,no,no,no,yes,-49,no,yes,no,no,no,no,13600,6067.3,10551,-15.3,-651,,14155,William F. Oplinger,U.S.,Pittsburgh,Pennsylvania,https://www.alcoa.com,Public,"Market value as of March 28, 2024.",6067,45447,www.alcoa.com,E,0.7,sustainable energy,87.325,
381,Equitable Holdings,EQH,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-83,no,yes,no,no,no,no,10700,12532.3,10528,-24.9,1302,-27.1,276814,Mark Pearson,U.S.,New York,New York,https://www.equitableholdings.com,Public,"Market value as of March 28, 2024.",12532,45447,www.equitableholdings.com,C,0.37,sustainable energy,5.623,
382,KLA,KLAC,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,34,yes,no,no,no,no,no,15105,94470.2,10496.1,13.9,3387.3,2,14072.4,Richard P. Wallace,U.S.,Milpitas,California,https://www.kla.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",94470,45447,www.kla.com,E,0.79,sustainable energy,158.83,
383,Darden Restaurants,DRI,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,yes,19,yes,no,no,no,no,no,187384,19959.5,10487.8,8.9,981.9,3.1,10241.5,Ricardo Cardenas,U.S.,Orlando,Florida,https://www.darden.com,Public,"Figures are for fiscal year ended May 31, 2023. Market value as of March 28, 2024.",19960,45447,www.darden.com,F,1.11,bog standard energy,818.386,
384,Autoliv,ALV,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,45,yes,no,no,no,no,no,66434,9809.7,10475,18.5,488,15.4,8332,Mikael Bratt,U.S.,Auburn Hills,Michigan,https://www.autoliv.com,Public,"Incorporated in the U.S. and headquartered in Sweden. Its North American headquarters are in Auburn Hills, Mich. Market value as of March 28, 2024.",9810,45447,www.autoliv.com,D,0.52,sustainable energy,132.345,
385,Alaska Air Group,ALK,Transportation,Airlines,yes,no,no,yes,13,yes,no,no,no,no,no,24610,5408.1,10426,8.1,235,305.2,14613,Benito Minicucci,U.S.,Seattle,Washington,https://www.alaskaair.com,Public,"Market value as of March 28, 2024.",5408,45447,www.alaskaair.com,F,1.05,sustainable energy,14810,
386,KeyCorp,KEY,Financials,Commercial Banks,yes,no,no,yes,73,yes,no,no,no,no,no,17692,14663.3,10397,27.9,967,-49.6,188281,Christopher M. Gorman,U.S.,Cleveland,Ohio,https://www.key.com,Public,"Market value as of March 28, 2024.",14663,45447,www.key.com,D,0.53,sustainable energy,6330,
387,Las Vegas Sands,LVS,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,326,yes,no,yes,no,yes,no,38550,38840.4,10372,139.1,1221,-33.4,21778,Robert G. Goldstein,U.S.,Las Vegas,Nevada,https://www.sands.com,Public,"Market value as of March 28, 2024.",38840,45447,www.sands.com,D,0.59,sustainable energy,21.014,
388,Owens & Minor,OMI,Health Care,Wholesalers: Health Care,no,no,no,no,2,yes,no,no,no,no,no,22200,2122.5,10334,3.8,-41.3,-284.5,5093.3,Edward A. Pesicka,U.S.,Mechanicsville,Virginia,https://www.owens-minor.com,Public,"Market value as of March 28, 2024.",2123,45447,www.owens-minor.com,D,0.53,bog standard energy,37.425,
